Sl. No.,Image Filename,Anomaly,Anomaly,Classification of Image,Image Classification Level 2,Image Classification Level 1,,Tr/Te,,,,,
1742,Cluster-Safe-\\17\\image-929.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1745,Cluster-Safe-\\17\\image-961.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
177,Cluster-Safe-\\0\\image-1471.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
207,Cluster-Safe-\\0\\image-1705.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
264,Cluster-Safe-\\2\\image-84.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,0,Train,,,,,
350,Cluster-Safe-\\2\\image-713.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
416,Cluster-Safe-\\2\\image-1203.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
487,Cluster-Safe-\\2\\image-1731.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
494,Cluster-Safe-\\2\\image-1770.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
524,Cluster-Safe-\\3\\image-39.jpeg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
526,Cluster-Safe-\\3\\image-75.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
540,Cluster-Safe-\\3\\image-168.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
773,Cluster-Safe-\\6\\image-325.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,0,Train,,,,,
779,Cluster-Safe-\\6\\image-352.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
905,Cluster-Safe-\\6\\image-1363.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1080,Cluster-Safe-\\8\\image-903.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1144,Cluster-Safe-\\8\\image-1548.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1149,Cluster-Safe-\\8\\image-1637.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1179,Cluster-Safe-\\8\\image-1997.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1256,Cluster-Safe-\\9\\image-923.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1377,Cluster-Safe-\\13\\image-407.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1442,Cluster-Safe-\\13\\image-1187.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1550,Cluster-Safe-\\14\\image-571.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1641,Cluster-Safe-\\14\\image-1719.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1754,Cluster-Safe-\\17\\image-1005.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1767,Cluster-Safe-\\17\\image-1089.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1769,Cluster-Safe-\\17\\image-1130.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
304,Cluster-Safe-\\2\\image-410.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
324,Cluster-Safe-\\2\\image-550.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
926,Cluster-Safe-\\6\\image-1487.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1019,Cluster-Safe-\\8\\image-378.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1200,Cluster-Safe-\\9\\image-261.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1219,Cluster-Safe-\\9\\image-539.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1277,Cluster-Safe-\\9\\image-1245.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1360,Cluster-Safe-\\13\\image-235.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1395,Cluster-Safe-\\13\\image-710.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1512,Cluster-Safe-\\14\\image-36.jpeg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1576,Cluster-Safe-\\14\\image-985.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1630,Cluster-Safe-\\14\\image-1642.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1685,Cluster-Safe-\\17\\image-264.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1692,Cluster-Safe-\\17\\image-298.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1732,Cluster-Safe-\\17\\image-829.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1795,Cluster-Safe-\\17\\image-1505.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
62,Cluster-Safe-\\0\\image-434.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
130,Cluster-Safe-\\0\\image-1093.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
302,Cluster-Safe-\\2\\image-395.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
322,Cluster-Safe-\\2\\image-544.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
336,Cluster-Safe-\\2\\image-621.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,0,Train,,,,,
381,Cluster-Safe-\\2\\image-945.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
652,Cluster-Safe-\\3\\image-1260.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
667,Cluster-Safe-\\3\\image-1379.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
767,Cluster-Safe-\\6\\image-246.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
778,Cluster-Safe-\\6\\image-348.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,0,Train,,,,,
809,Cluster-Safe-\\6\\image-548.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
868,Cluster-Safe-\\6\\image-1143.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
970,Cluster-Safe-\\6\\image-1894.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1075,Cluster-Safe-\\8\\image-853.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1445,Cluster-Safe-\\13\\image-1217.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1474,Cluster-Safe-\\13\\image-1611.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1572,Cluster-Safe-\\14\\image-958.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
5,Cluster-Safe-\\0\\image-34.jpeg,0,Normal,Potential Issue,B20 Exterior Enclosure,B SHELL,0,Train,,,,,
165,Cluster-Safe-\\0\\image-1395.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
200,Cluster-Safe-\\0\\image-1643.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
280,Cluster-Safe-\\2\\image-252.jpg,0,Anomaly,Risk,,#N/A,0,Train,,,,,
329,Cluster-Safe-\\2\\image-564.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
433,Cluster-Safe-\\2\\image-1305.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
530,Cluster-Safe-\\3\\image-110.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
578,Cluster-Safe-\\3\\image-590.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
633,Cluster-Safe-\\3\\image-1082.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
645,Cluster-Safe-\\3\\image-1182.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
996,Cluster-Safe-\\8\\image-157.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1025,Cluster-Safe-\\8\\image-414.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1379,Cluster-Safe-\\13\\image-440.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1420,Cluster-Safe-\\13\\image-1009.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1493,Cluster-Safe-\\13\\image-1835.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1516,Cluster-Safe-\\14\\image-108.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1547,Cluster-Safe-\\14\\image-501.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1597,Cluster-Safe-\\14\\image-1324.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1782,Cluster-Safe-\\17\\image-1330.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
63,Cluster-Safe-\\0\\image-446.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
141,Cluster-Safe-\\0\\image-1206.jpg,0,Normal,Potential Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,0,Train,,,,,
161,Cluster-Safe-\\0\\image-1366.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
292,Cluster-Safe-\\2\\image-320.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
346,Cluster-Safe-\\2\\image-678.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
571,Cluster-Safe-\\3\\image-505.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
899,Cluster-Safe-\\6\\image-1322.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
916,Cluster-Safe-\\6\\image-1414.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
983,Cluster-Safe-\\8\\image-47.jpeg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1018,Cluster-Safe-\\8\\image-361.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1185,Cluster-Safe-\\9\\image-141.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1287,Cluster-Safe-\\9\\image-1329.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1338,Cluster-Safe-\\9\\image-1975.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1370,Cluster-Safe-\\13\\image-337.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1404,Cluster-Safe-\\13\\image-780.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1431,Cluster-Safe-\\13\\image-1113.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1574,Cluster-Safe-\\14\\image-970.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
43,Cluster-Safe-\\0\\image-314.jpg,0,Normal,No Issue,,#N/A,0,Train,,,,,
55,Cluster-Safe-\\0\\image-396.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
66,Cluster-Safe-\\0\\image-458.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
172,Cluster-Safe-\\0\\image-1431.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
255,Cluster-Safe-\\2\\image-15.jpeg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
562,Cluster-Safe-\\3\\image-427.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
647,Cluster-Safe-\\3\\image-1200.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
692,Cluster-Safe-\\3\\image-1621.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
732,Cluster-Safe-\\3\\image-1991.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
825,Cluster-Safe-\\6\\image-699.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1113,Cluster-Safe-\\8\\image-1147.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1316,Cluster-Safe-\\9\\image-1720.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1358,Cluster-Safe-\\13\\image-230.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1369,Cluster-Safe-\\13\\image-308.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1505,Cluster-Safe-\\13\\image-1921.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1532,Cluster-Safe-\\14\\image-354.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1534,Cluster-Safe-\\14\\image-363.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1715,Cluster-Safe-\\17\\image-668.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1719,Cluster-Safe-\\17\\image-687.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1741,Cluster-Safe-\\17\\image-928.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1773,Cluster-Safe-\\17\\image-1167.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1780,Cluster-Safe-\\17\\image-1310.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
79,Cluster-Safe-\\0\\image-586.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
113,Cluster-Safe-\\0\\image-938.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
135,Cluster-Safe-\\0\\image-1119.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
162,Cluster-Safe-\\0\\image-1369.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
191,Cluster-Safe-\\0\\image-1584.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
194,Cluster-Safe-\\0\\image-1598.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,0,Train,,,,,
201,Cluster-Safe-\\0\\image-1654.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
237,Cluster-Safe-\\0\\image-1900.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
271,Cluster-Safe-\\2\\image-205.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
387,Cluster-Safe-\\2\\image-979.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
500,Cluster-Safe-\\2\\image-1797.jpg,1,Anomaly,Issue,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,0,Train,,,,,
801,Cluster-Safe-\\6\\image-515.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
819,Cluster-Safe-\\6\\image-634.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
999,Cluster-Safe-\\8\\image-185.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1274,Cluster-Safe-\\9\\image-1235.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1424,Cluster-Safe-\\13\\image-1052.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1525,Cluster-Safe-\\14\\image-260.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1613,Cluster-Safe-\\14\\image-1509.jpg,1,Normal,Potential Issue,,#N/A,0,Train,,,,,
1816,Cluster-Safe-\\17\\image-1690.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1827,Cluster-Safe-\\17\\image-1830.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
56,Cluster-Safe-\\0\\image-400.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,1,Train,,,,,
220,Cluster-Safe-\\0\\image-1775.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
273,Cluster-Safe-\\2\\image-220.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
341,Cluster-Safe-\\2\\image-640.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
529,Cluster-Safe-\\3\\image-100.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
686,Cluster-Safe-\\3\\image-1563.jpg,1,Anomaly,Risk,G10 Site Preparation,G BUILDING SITEWORK,1,Train,,,,,
818,Cluster-Safe-\\6\\image-616.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
1171,Cluster-Safe-\\8\\image-1940.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1184,Cluster-Safe-\\9\\image-123.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1660,Cluster-Safe-\\14\\image-1935.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1736,Cluster-Safe-\\17\\image-866.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
156,Cluster-Safe-\\0\\image-1325.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
164,Cluster-Safe-\\0\\image-1392.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
650,Cluster-Safe-\\3\\image-1227.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,1,Train,,,,,
703,Cluster-Safe-\\3\\image-1726.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
713,Cluster-Safe-\\3\\image-1813.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
726,Cluster-Safe-\\3\\image-1925.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
766,Cluster-Safe-\\6\\image-241.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
959,Cluster-Safe-\\6\\image-1781.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1015,Cluster-Safe-\\8\\image-335.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1045,Cluster-Safe-\\8\\image-594.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1276,Cluster-Safe-\\9\\image-1242.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
1310,Cluster-Safe-\\9\\image-1566.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1469,Cluster-Safe-\\13\\image-1569.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1509,Cluster-Safe-\\13\\image-1955.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1533,Cluster-Safe-\\14\\image-359.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1541,Cluster-Safe-\\14\\image-448.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1599,Cluster-Safe-\\14\\image-1364.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1788,Cluster-Safe-\\17\\image-1419.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
94,Cluster-Safe-\\0\\image-768.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
275,Cluster-Safe-\\2\\image-236.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
419,Cluster-Safe-\\2\\image-1210.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,1,Train,,,,,
425,Cluster-Safe-\\2\\image-1241.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
541,Cluster-Safe-\\3\\image-194.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
655,Cluster-Safe-\\3\\image-1273.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,1,Train,,,,,
709,Cluster-Safe-\\3\\image-1799.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
876,Cluster-Safe-\\6\\image-1190.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
925,Cluster-Safe-\\6\\image-1478.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
931,Cluster-Safe-\\6\\image-1521.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
955,Cluster-Safe-\\6\\image-1739.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1133,Cluster-Safe-\\8\\image-1355.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1134,Cluster-Safe-\\8\\image-1360.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1166,Cluster-Safe-\\8\\image-1880.jpg,1,Anomaly,Risk,,#N/A,1,Train,,,,,
1303,Cluster-Safe-\\9\\image-1496.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1366,Cluster-Safe-\\13\\image-300.jpg,1,Anomaly,Issue,,#N/A,1,Train,,,,,
1468,Cluster-Safe-\\13\\image-1552.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1621,Cluster-Safe-\\14\\image-1545.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1743,Cluster-Safe-\\17\\image-934.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
1755,Cluster-Safe-\\17\\image-1015.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
176,Cluster-Safe-\\0\\image-1469.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
204,Cluster-Safe-\\0\\image-1680.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
252,Cluster-Safe-\\2\\image-2.jpeg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
388,Cluster-Safe-\\2\\image-981.jpg,0,Normal,Potential Issue,,#N/A,1,Train,,,,,
397,Cluster-Safe-\\2\\image-1079.jpg,0,Normal,Potential Risk,,#N/A,1,Train,,,,,
